ㄚ	a1
ㄚˊ	a2
ㄚˇ	a3
ㄚˋ	a4
˙ㄚ	a5
ㄞ	ai1
ㄞˊ	ai2
ㄞˇ	ai3
ㄞˋ	ai4
˙ㄞ	ai5
ㄢ	an1
ㄢˊ	an2
ㄢˇ	an3
ㄢˋ	an4
ㄤ	ang1
ㄤˊ	ang2
ㄤˇ	ang3
ㄤˋ	ang4
ㄠ	ao1
ㄠˊ	ao2
ㄠˇ	ao3
ㄠˋ	ao4
ㄅㄚ	ba1
ㄅㄚˊ	ba2
ㄅㄚˇ	ba3
ㄅㄚˋ	ba4
˙ㄅㄚ	ba5
ㄅㄞ	bai1
ㄅㄞˊ	bai2
ㄅㄞˇ	bai3
ㄅㄞˋ	bai4
˙ㄅㄞ	bai5
ㄅㄢ	ban1
ㄅㄢˇ	ban3
ㄅㄢˋ	ban4
˙ㄅㄢ	ban5
ㄅㄤ	bang1
ㄅㄤˇ	bang3
ㄅㄤˋ	bang4
˙ㄅㄤ	bang5
ㄅㄠ	bao1
ㄅㄠˊ	bao2
ㄅㄠˇ	bao3
ㄅㄠˋ	bao4
˙ㄅㄠ	bao5
ㄅㄟ	bei1
ㄅㄟˇ	bei3
ㄅㄟˋ	bei4
˙ㄅㄟ	bei5
ㄅㄣ	ben1
ㄅㄣˇ	ben3
ㄅㄣˋ	ben4
ㄅㄥ	beng1
ㄅㄥˊ	beng2
ㄅㄥˇ	beng3
ㄅㄥˋ	beng4
˙ㄅㄥ	beng5
ㄅㄧ	bi1
ㄅㄧˊ	bi2
ㄅㄧˇ	bi3
ㄅㄧˋ	bi4
˙ㄅㄧ	bi5
ㄅㄧㄚ	bia1
ㄅㄧㄚˋ	bia4
ㄅㄧㄢ	bian1
ㄅㄧㄢˊ	bian2
ㄅㄧㄢˇ	bian3
ㄅㄧㄢˋ	bian4
˙ㄅㄧㄢ	bian5
ㄅㄧㄤˊ	biang2
ㄅㄧㄠ	biao1
ㄅㄧㄠˊ	biao2
ㄅㄧㄠˇ	biao3
ㄅㄧㄠˋ	biao4
ㄅㄧㄝ	bie1
ㄅㄧㄝˊ	bie2
ㄅㄧㄝˇ	bie3
ㄅㄧㄝˋ	bie4
˙ㄅㄧㄝ	bie5
ㄅㄧㄣ	bin1
ㄅㄧㄣˇ	bin3
ㄅㄧㄣˋ	bin4
˙ㄅㄧㄣ	bin5
ㄅㄧㄥ	bing1
ㄅㄧㄥˇ	bing3
ㄅㄧㄥˋ	bing4
˙ㄅㄧㄥ	bing5
ㄅㄛ	bo1
ㄅㄛˊ	bo2
ㄅㄛˇ	bo3
ㄅㄛˋ	bo4
˙ㄅㄛ	bo5
ㄅㄨ	bu1
ㄅㄨˊ	bu2
